responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_emoney?,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,penggunaan_1,penggunaan_2,penggunaan_3,penggunaan_4,penggunaan_5,metode_topup_1,metode_topup_2,metode_topup_3,metode_topup_4,metode_topup_5,keluhan_1,keluhan_2,keluhan_3
1016,Perempuan,>50 tahun,SMA,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,LinkAja,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1017,Perempuan,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1018,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,Top up di minimarket,,,
1019,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,Melalui Driver,,Aplikasi tidak bisa digunakan/ diakses,,
1020,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,,,
1021,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1022,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1023,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1024,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,,,,Pembayaran e-commerce,,,,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1025,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,Internet Banking,,,,,
1026,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,LinkAja,Dana,,Pembayaran transportasi online,,,,,ATM,,,,,,,
1027,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1028,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1029,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1030,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,,,,,,,,,,,,Aplikasi tidak bisa digunakan/ diakses,,
1031,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1032,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1033,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1034,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1035,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
1036,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1037,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,LinkAja,,,,,,,,,,,,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
1038,Perempuan,41-50 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,,,
1039,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1040,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1041,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1042,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1043,Laki – laki,>50 tahun,S2,> Rp 10 juta,,,,,,ya,,,,,,,Pembayaran tol,,,,,,,,,,,
1044,Perempuan,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,,,,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1045,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1046,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,LinkAja,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,Internet Banking,Melalui Driver,,Aplikasi tidak bisa digunakan/ diakses,,
1047,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,Top up di minimarket,,,
1048,Laki – laki,>50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1049,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,,,,,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1050,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,,,ATM,,,,,,,
1051,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1052,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,Top up di minimarket,,,
1053,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1054,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1055,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1056,Laki – laki,15-20 tahun,SMA,tidak menjawab,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,,,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1057,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,,,
1058,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,,ATM,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1059,Perempuan,15-20 tahun,SMA,tidak menjawab,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
1060,Laki – laki,< 15 tahun,SD,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1061,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1062,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1063,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1064,Perempuan,31-40 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
1065,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,Pembayaran tol,,,,,Mobile Banking,,,,,,
1066,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1067,Laki – laki,41-50 tahun,S2,> Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,LinkAja,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1068,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1069,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1070,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,LinkAja,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1071,Perempuan,15-20 tahun,SMP,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1072,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1073,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1074,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,Internet Banking,,,,,
1075,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1076,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1077,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,ATM,,,,,Aplikasi tidak bisa digunakan/ diakses,,
1078,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1079,Perempuan,21-30 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1080,Laki – laki,21-30 tahun,S1,< Rp 2 juta,,Streaming video/ film,,,,ya,,OVO,,,,,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1081,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1082,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
1083,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,GoPay,,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1084,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
1085,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,ya,,OVO,,,,,,,,,,Mobile Banking,,,,,,
1086,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1087,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1088,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,ShopeePay,,,,,"Pembayaran utilitas (PLN, PDAM, dll)",,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1089,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1090,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1091,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1092,Perempuan,15-20 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1093,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,,,Pembayaran transportasi online,Pembayaran tol,,,,,,Internet Banking,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
1094,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,OVO,,Dana,,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1095,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,,,,,Aplikasi tidak bisa digunakan/ diakses,,
1096,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,,,Top up di minimarket,,,
1097,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,,ATM,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1098,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1099,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,Pembayaran e-commerce,,,,,,,Top up di minimarket,,,
1100,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1101,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1102,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1103,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,,,ya,GoPay,,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
1104,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1105,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,Pembayaran e-commerce,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1106,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,,,ATM,,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
1107,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
1108,Perempuan,>50 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,,,,,Mobile Banking,Internet Banking,,,,,
1109,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
1110,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,,Internet Banking,,,,,Telah Top Up tapi saldo tidak bertambah
1111,Laki – laki,41-50 tahun,S3,> Rp 10 juta,,,,,,ya,,,,,,,Pembayaran tol,,,,ATM,,,,Top up di minimarket,,,
1112,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,LinkAja,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
1113,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,,,,,,Mobile Banking,,,,,,
1114,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,,,,,Pembayaran transportasi online,,,,,,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
1115,Perempuan,41-50 tahun,S2,> Rp 10 juta,,,Mengikuti kelas online,,,ya,GoPay,OVO,LinkAja,,,Pembayaran transportasi online,Pembayaran tol,,,,ATM,,,Melalui Driver,,Aplikasi tidak bisa digunakan/ diakses,,
